epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,8307.65,0.83174,0.83294,1.00835,0.98372,0.98969,0.99299,0.69056,1.18787,0.60157,1.04313,0.000190625,0.000190625,0.000190625
127,8372.5,0.75518,0.73068,0.97067,0.98372,0.98969,0.99299,0.69056,1.18787,0.60157,1.04313,0.00018815,0.00018815,0.00018815
128,8437.68,0.77965,0.73052,0.97172,0.98563,0.98891,0.99305,0.70621,1.12176,0.59164,1.01755,0.000185675,0.000185675,0.000185675
129,8502.89,0.80655,0.79936,0.9929,0.9842,0.99059,0.99326,0.70412,1.11768,0.58744,1.01902,0.0001832,0.0001832,0.0001832
130,8567.68,0.83535,0.72176,1.00388,0.98385,0.99024,0.99341,0.69401,1.15916,0.59224,1.04009,0.000180725,0.000180725,0.000180725
131,8632.5,0.80718,0.74343,0.995,0.98639,0.98599,0.99315,0.66693,1.25469,0.60753,1.08731,0.00017825,0.00017825,0.00017825
132,8697.65,0.79222,0.71847,0.98777,0.98639,0.98599,0.99315,0.66693,1.25469,0.60753,1.08731,0.000175775,0.000175775,0.000175775
133,8763.31,0.8277,0.71685,0.99793,0.99233,0.99022,0.99303,0.64703,1.33021,0.61194,1.12551,0.0001733,0.0001733,0.0001733
134,8828.12,0.75866,0.7259,0.96765,0.9929,0.99112,0.99197,0.64004,1.36869,0.61625,1.14364,0.000170825,0.000170825,0.000170825
135,8893.55,0.77041,0.6947,0.98401,0.98734,0.98618,0.99132,0.64199,1.35283,0.61388,1.13419,0.00016835,0.00016835,0.00016835
136,8958.7,0.81203,0.782,0.99761,0.97479,0.98699,0.9911,0.64615,1.32815,0.61527,1.1201,0.000165875,0.000165875,0.000165875
137,9023.83,0.83439,0.7809,0.98614,0.97479,0.98699,0.9911,0.64615,1.32815,0.61527,1.1201,0.0001634,0.0001634,0.0001634
138,9088.77,0.73827,0.66411,0.97945,0.97366,0.98895,0.99094,0.65747,1.28388,0.60541,1.09816,0.000160925,0.000160925,0.000160925
139,9154.18,0.89268,0.77803,1.00194,0.98645,0.9839,0.99115,0.67847,1.21291,0.58553,1.06712,0.00015845,0.00015845,0.00015845
140,9219.04,0.79555,0.70877,0.99024,0.98546,0.99332,0.99123,0.69315,1.14634,0.5674,1.03886,0.000155975,0.000155975,0.000155975
141,9283.57,0.84927,0.78719,1.0114,0.9885,0.99416,0.99174,0.70681,1.10394,0.55587,1.0202,0.0001535,0.0001535,0.0001535
142,9348.41,0.80013,0.72287,1.00247,0.98709,0.99976,0.99212,0.70682,1.0995,0.55205,1.01614,0.000151025,0.000151025,0.000151025
143,9413.09,0.78357,0.67236,0.96607,0.98709,0.99976,0.99212,0.70682,1.0995,0.55205,1.01614,0.00014855,0.00014855,0.00014855
144,9477.65,0.76387,0.64766,0.97561,0.99035,0.99621,0.99371,0.70019,1.1309,0.55281,1.02653,0.000146075,0.000146075,0.000146075
145,9542.67,0.77607,0.68175,0.98113,0.99043,0.99621,0.9939,0.68756,1.19247,0.55755,1.04964,0.0001436,0.0001436,0.0001436
146,9607.58,0.79558,0.71636,0.98275,0.9917,0.9971,0.99424,0.67245,1.27142,0.56942,1.08314,0.000141125,0.000141125,0.000141125
147,9672.7,0.84145,0.72866,1.03487,0.99189,0.99672,0.99432,0.65448,1.35024,0.58138,1.12124,0.00013865,0.00013865,0.00013865
148,9737.53,0.76552,0.72892,0.95838,0.99189,0.99672,0.99432,0.65448,1.35024,0.58138,1.12124,0.000136175,0.000136175,0.000136175
149,9802.61,0.71696,0.72559,0.9308,0.99184,0.9972,0.99424,0.63106,1.41723,0.59262,1.1562,0.0001337,0.0001337,0.0001337
150,9867.62,0.80209,0.67189,0.98722,0.99334,0.99789,0.99439,0.62604,1.43219,0.59455,1.16671,0.000131225,0.000131225,0.000131225
151,9932.44,0.71751,0.64277,0.94838,0.9926,0.99979,0.99432,0.62515,1.43127,0.59538,1.16839,0.00012875,0.00012875,0.00012875
152,9997.21,0.75006,0.65759,0.94482,0.99416,0.99369,0.99466,0.63647,1.41093,0.59301,1.15811,0.000126275,0.000126275,0.000126275
153,10061.9,0.73,0.68505,0.96917,0.99416,0.99369,0.99466,0.63647,1.41093,0.59301,1.15811,0.0001238,0.0001238,0.0001238
154,10126.3,0.7254,0.62139,0.94323,0.99379,0.99319,0.99477,0.64916,1.36961,0.58749,1.13801,0.000121325,0.000121325,0.000121325
155,10190.9,0.77535,0.62599,0.95172,0.99308,0.99329,0.99477,0.66967,1.27849,0.57375,1.09535,0.00011885,0.00011885,0.00011885
156,10255.5,0.71032,0.64831,0.94369,0.99223,0.99308,0.99477,0.69614,1.16991,0.55334,1.04651,0.000116375,0.000116375,0.000116375
157,10319.9,0.67763,0.66845,0.94524,0.99181,0.99401,0.99466,0.72576,1.07133,0.53512,1.00514,0.0001139,0.0001139,0.0001139
158,10384.4,0.70865,0.66649,0.94309,0.9903,0.99597,0.99477,0.73947,1.00452,0.52264,0.98076,0.000111425,0.000111425,0.000111425
159,10449.4,0.75887,0.65097,0.96994,0.9903,0.99597,0.99477,0.73947,1.00452,0.52264,0.98076,0.00010895,0.00010895,0.00010895
160,10514.3,0.76287,0.61346,0.98326,0.9918,1,0.99485,0.75258,0.95808,0.51094,0.96585,0.000106475,0.000106475,0.000106475
161,10578.8,0.69492,0.62112,0.96588,0.98922,0.9996,0.99485,0.76019,0.92716,0.50559,0.95603,0.000104,0.000104,0.000104
